Product_id,Price,xy,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
907,20870,2087,37,147,5,294,4,1.3,32,3,8,5,2450,7.6
162,18430,1843,38,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
907,20870,2087,40,147,5,294,4,1.3,32,3,8,5,2450,7.6
974,28590,2859,40,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
739,19890,1989,40,131,5,294,4,1.3,16,2,13,5,2500,8.7
1339,14210,1421,40,120,4,233,2,1,4,0.512,2,0,1200,9.8
1145,33160,3316,41,144,5.2,428,8,1.75,32,3,20.7,5.1,2930,6.9
162,18430,1843,41,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
738,26850,2685,42,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
804,17410,1741,43,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
43,13470,1347,43,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
974,28590,2859,43,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
1248,36580,3658,45,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
93,19840,1984,45,154,5,294,4,1,8,1,8,5,3140,8.1
575,17770,1777,45,174,5.5,178,4,1.3,4,0.512,5,0,2250,9.2
1248,36580,3658,52,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
93,19840,1984,57,154,5,294,4,1,8,1,8,5,3140,8.1
739,19890,1989,57,131,5,294,4,1.3,16,2,13,5,2500,8.7
804,17410,1741,57,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
563,28240,2824,58,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
577,27460,2746,66,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
43,13470,1347,67,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
218,23230,2323,71,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
738,26850,2685,72,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
563,28240,2824,73,175,5.5,401,6,1.53,32,3,21,8,3500,9.3
577,27460,2746,75,158,5.5,401,4,1.83,64,4,13,5,4000,8.5
56,20440,2044,82,310,8,283,8,2,8,2,5,2,4060,7.3
198,17340,1734,87,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
218,23230,2323,87,97,4.8,306,8,1.7,16,1,8,5,2100,5.1
198,17340,1734,89,128,4.5,245,4,1.2,4,1,8,0,1840,8.5
14,22760,2276,91,116,5,294,8,1.5,16,2,13,5,2300,7.8
56,20440,2044,93,310,8,283,8,2,8,2,5,2,4060,7.3
857,31160,3116,94,153,5.5,401,8,1.5,64,4,13,16,3200,7.3
937,25710,2571,96,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
14,22760,2276,98,116,5,294,8,1.5,16,2,13,5,2300,7.8
937,25710,2571,100,97,4.8,306,4,1.2,16,2,8,5,2000,5.1
66,13960,1396,101,279,7,170,4,1.2,4,1,3,0,3240,9
1221,27140,2714,101,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
1011,30050,3005,103,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
1221,27140,2714,106,156,5.5,401,8,1.35,16,2,13,5,2300,5.1
1026,7910,791,106,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
1011,30050,3005,109,171,5.7,515,8,1.8,32,4,16,5,3000,7.6
1216,38370,3837,111,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
237,16460,1646,113,404,8,160,4,1.2,8,1,5,5,4500,9
66,13960,1396,114,279,7,170,4,1.2,4,1,3,0,3240,9
1026,7910,791,114,66,1.5,121,1,0.208,0,0.004,0,0,800,13.2
1216,38370,3837,119,167.8,5.43,541,4,1.875,128,6,16,8,3600,7.6
763,13020,1302,121,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
763,13020,1302,140,127.9,4,235,2,1.2,8,1,2,0,1500,10.6
237,16460,1646,141,404,8,160,4,1.2,8,1,5,5,4500,9
131,18310,1831,143,154,5,294,4,1.2,8,1,13,5,2100,8.4
131,18310,1831,156,154,5,294,4,1.2,8,1,13,5,2100,8.4
1062,18100,1810,164,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
841,15110,1511,164,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
1062,18100,1810,166,393,8,189,4,1.2,16,1.5,3.15,1.2,4450,9.7
1143,25620,2562,178,187,6,367,8,1.7,16,2,13,13,2930,8.2
1143,25620,2562,179,187,6,367,8,1.7,16,2,13,13,2930,8.2
183,15220,1522,187,160,5,220,2,1.2,0,1,8,0,2500,10.8
841,15110,1511,198,134,4.5,221,4,1.2,8,0.512,5,0,1830,9.2
1080,23430,2343,198,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
827,8330,833,201,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
183,15220,1522,204,160,5,220,2,1.2,0,1,8,0,2500,10.8
1080,23430,2343,206,158,5.1,432,4,2.5,16,2,16,2,2800,8.9
133,27440,2744,208,142,5,440,8,1.25,16,2,16,8,2700,8
827,8330,833,213,78.4,2.4,166,0,0,0,0.008,0,0,1100,12.9
133,27440,2744,214,142,5,440,8,1.25,16,2,16,8,2700,8
832,16760,1676,256,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
832,16760,1676,268,150,5,294,4,1.2,16,1,10,0.9,2200,8.5
637,28580,2858,285,174,5.7,513,4,1.875,32,4,16,5,3200,7.6
64,7540,754,299,77.9,2.4,167,0,0,0.004,0.004,0,0,850,12.4
30,29750,2975,302,149,5.5,534,8,1.6,32,3,16,8,3000,7
30,29750,2975,307,149,5.5,534,8,1.6,32,3,16,8,3000,7
